text,true_label,predicted_verdict,is_correct,confidence,reason,psychological_intent,logical_fallacies,evidence_quality
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",fake,fake,True,95.0,"The statement lacks crucial context and verifiable sourcing.  While similar phrases have been attributed to Trump in other contexts (e.g., Access Hollywood tape), this specific phrasing, presented without source or date, raises strong suspicion. The psychological intent appears to be character assassination, relying on the reader's pre-existing biases.  The lack of evidence, combined with the potential for manipulation, points towards fabrication.","Likely intended to evoke negative emotions towards Donald Trump, possibly to persuade or reinforce negative opinions.","['Out of Context', 'Hasty Generalization (if used to imply this is typical behavior)']",Non-existent
"Fewer black and Latino men participate in the labor force, compared to young white men.",real,real,True,70.0,"The statement presents a verifiable factual claim about labor force participation rates, which can be cross-referenced with official labor statistics data from reputable sources like the Bureau of Labor Statistics or the U.S. Census Bureau. While the statement itself is concise and lacks explicit emotional manipulation, its potential implications and interpretations could be subject to bias or framing depending on the surrounding context. The lack of specific data within the provided text prevents a higher confidence score.",Potentially informative but lacking context. Could be used to support various arguments depending on the framing.,[],"Non-existent (within the provided text, but potentially verifiable externally)"
"By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.",real,fake,False,95.0,"The text presents factual claims about public opinion and gun ownership in Rhode Island without providing any supporting evidence or sources. The combination of statistical claims with an implied policy recommendation creates a persuasive, yet unsubstantiated, argument.  The lack of verifiable sources for easily verifiable claims strongly suggests fabrication.",Persuasion through presenting seemingly factual data to sway public opinion on gun control. The statement appeals to the idea of majority rule ('two-to-one margin') and attempts to minimize opposing viewpoints ('very small percentage of gun owners').,"['Appeal to Popularity', 'Hasty Generalization']",Non-existent
"Take note cowardly anti-American thugs, your Black Bloc brother will soon to be wearing orange for a very long time A Florida man with the radical  black bloc  protest network pleaded guilty Friday to felony rioting and assault for his role in the Inauguration Day chaos in Washington, D.C.Dane Powell, 31, of Tampa was the first to enter a guilty plea on felony charges brought against 212 protesters accused of rioting and vandalizing property during the Jan. 20 melee surrounding President Trump s swearing-in ceremony.Here s a photo of Dane Powell and friend Tracy Penokie posing for a picture that was posted on The Ybor City website on inauguration day in DC just before the activities  rioting began:Dane is seen again with a mega phone here and a  free Palestine  t-shirt with his friend Tracy:Scheduled to be sentenced July 7, he faces a possible six years in prison for breaking windows and throwing a  brick, large rock or piece of concrete  at officers after joining a mob of masked black bloc protesters who moved en masse across 16 blocks in about 30 minutes, according to the U.S. Attorney s Office.The plea was announced by U.S. Attorney for the District of Columbia Channing D. Phillips and Peter Newsham, Metropolitan Police Department acting chief.Carrying hammers, crowbars, metal poles and wooden sticks, the self-described anarchists broke windows at a dozen businesses, including Starbucks, McDonald s and Bank of America; pulled newspaper stands and trash cans into the streets; spray-painted buildings, and shattered the windows of a police cruiser and limousine.WATCH this incredible video of Blac Block and Antifa anarchists in Washington DC during President Trump s inauguration:Federal prosecutors released a superseding indictment Thursday that brought additional felony counts against some defendants, including Powell, which brought an outcry from protesters. Washington Times",fake,real,False,75.0,"The article, while exhibiting a strong bias and inflammatory language, presents verifiable details about an individual's guilty plea related to the 2017 Inauguration Day protests.  The mention of the U.S. Attorney for the District of Columbia, specific charges, and sentencing date provide grounding in real events.  While the emotional language and framing raise concerns about objectivity, the core factual claims are verifiable.","The article uses heavily charged language (""cowardly anti-American thugs,"" ""Black Bloc brother wearing orange"") to evoke outrage and demonize the protesters. It aims to persuade the reader that the protesters are inherently dangerous and deserving of punishment, potentially reinforcing pre-existing biases.","['Guilt by Association (linking the individual to ""Black Bloc"" to imply broader guilt), Loaded Language']","Circumstantial.  The article provides details seemingly sourced from official statements (U.S. Attorney's Office), lending some credibility. However, the photos and video lack clear provenance, and the ""Washington Times"" source at the end lacks a specific article link for independent verification. The reliance on emotionally charged language and guilt by association weakens the overall evidentiary value."
"There seems to be a definite double standard when it comes to how Republicans in Congress want to go about investigating terrible governors. When it came to investigating former Oregon Governor John Kitzhaber (D), Republicans like Rep. Jason Chaffetz (R-UT) were fast and furious with their requests to obtain the information they wanted in regards to a scandal surrounding Oregon s health insurance exchange. However, when it comes to going after Republican Governor Rick Snyder of Michigan over the horrendous Flint water crisis, those same Republicans so adamant at going after a Democratic governor, failed to send requests to investigate Flint.Rep. Elijah Cummings (D-MD) is not about to let them get away with this hypocrisy whatsoever.In a letter sent by Cummings to Chaffetz, who is the Chairman of the Committee on Oversight and Government Reform, Cummings points out the clear double-standard of the committee going after Kitzhaber, but not Snyder in the same regard. And while Cummings does give them some credit for called Snyder before the Committee in March, it is clear that they are not going after Snyder with the same vigor. Cummings wrote: During our meeting last week, you explained that you had spoken directly with Governor Snyder, and you suggested that one reason not to request documents from him is because he might claim that his communications about the Flint water crisis are protected by executive privilege. Although I was not a part of your conversation with Governor Snyder, any claim of executive privilege to withhold documents from Congress would be a surprising turn of events that directly contradicts the Governor s own promises of accountability to the people of Michigan. Cummings also wrote: I believe that the Committee should apply the same standards for requesting documents to all governors, regardless of whether they are Democrats or Republicans. By declining to send any document request at all to Governor Snyder, the Committee is creating the perception of a double-standard in which it has requested documents from a Democratic governor, but not from a Republican governor. He then goes on to give the example of former Oregon Governor John Kitzhaber.It is simply woefully irresponsible to so blatantly neglect going after Gov. Snyder, especially considering the Flint, Michigan water crisis is so irreversibly severe causing lifelong health issues to those affected. Not only should they be investigating Snyder to the fullest extent, but they should be pushing for his resignation, as is what happened with Kitzhaber.Cummings sums it up best when he states: The Committee has never accepted this practice as an adequate standard of investigation, and we should not do so now. Governor Snyder and his staff are central figures in the decision-making process that led to the poisoning of Flint residents, and the Committee owes it to these residents to conduct a comprehensive and bipartisan investigation. Snyder needs to be held responsible and party politics need to be checked at the door. End of story.Featured image via YouTube",fake,real,False,75.0,"The article presents a plausible argument about potential double standards in congressional investigations. It focuses on a specific case (Flint water crisis vs. Oregon health insurance exchange scandal) and cites a letter from Rep. Cummings to Rep. Chaffetz. While the article exhibits some emotionally charged language and potential bias, the core claim of differential treatment in investigations is verifiable. The lack of direct links to source documents slightly lowers the confidence score.","The article aims to persuade the reader that a double standard exists in congressional oversight, likely targeting readers who are already critical of Republican leadership.  It uses emotionally charged language like ""horrendous,"" ""irreversibly severe,"" and ""poisoning"" to evoke outrage and strengthen its persuasive appeal.",['Appeal to Emotion'],Circumstantial
"Democratic frontrunner Hillary Clinton had a couple of really enthusiastic supporters show up at her Buena Park, California rally on Wednesday. In fact, they were so enthusiastic she had to stop her security team from throwing them out of the event because they decided to remove their shirts.As security moved to escort the shirtless men out of her rally, one of them yelled,  Hillary, they re kicking us out because we don t have our shirts on. They re making us leave because we don t have shirts on.  A laughing Clinton responded by asking security to stop and saying: Well, you know what? As long as they don t take anything else off. You know, you gotta make split decisions that s what leadership is all about. We are a big diverse country. OK, where was I? I gotta admit, it is a little distracting standing up here looking at them. So I m gonna look over this way, and I m gonna look over that way. I m gonna look back there. It was a great moment for Clinton to show off the sense of humor a lot of people do not realize she has. The right wing often accuses her of being an Ice Queen, but she is actually very funny. Her response also highlighted the vast differences between her campaign and that of Republican nominee Donald Trump. The GOP candidate s rallies are filled with violence and hate, while Clinton s is filled with positivity. It s like night and day.Watch:Featured image via video screenshot",fake,fake,True,95.0,"The article exhibits multiple indicators of fabrication. It uses emotionally charged language to contrast Clinton and Trump, employs logical fallacies (oversimplification, false dichotomy), and lacks credible sourcing for its central anecdote. The casual tone and focus on a humorous incident, while attempting to draw broader conclusions about the candidates' campaigns, further weakens its credibility. The absence of verifiable details about the rally (date, specific location, corroborating news reports) strongly suggests it is fabricated.","The article aims to portray Clinton as humorous and relatable while painting Trump's campaign negatively. It uses emotionally charged terms like ""Ice Queen,"" ""violence and hate,"" and ""positivity"" to manipulate reader perception and reinforce a specific narrative.","['Oversimplification', 'False Dichotomy']",Non-existent
"NEW YORK (Reuters) - Pennsylvania’s $2 billion budget deficit is a “time bomb” that could cause “fiscal catastrophe the likes of which we have never seen” if it is not resolved, Governor Tom Wolf said in his budget address on Tuesday. Wolf proposed a $32.7 billion fiscal 2017 budget that would add $200 million of funding for K-12 public schools and another $110 million to early and special education programs. Including pension contributions, the budget would be nearly $33.3 billion. To pay for the increases, Wolf would increase personal income taxes by nearly 11 percent to 3.4 percent, expand sales taxes, raise taxes on tobacco products and implement a 6.5 percent severance tax on natural gas producers, according to documents released during his speech. But dominating Wolf’s message was the budgetary crisis escalated by political gridlock. Wolf, a Democrat, and the Republican-led legislature have disagreed since this time last year, when Wolf proposed his first budget. Now seven months after the start of fiscal 2016 on July 1, the state still has only a partial $23.4 billion emergency spending plan. Wolf had been ready to sign a negotiated $30.8 billion agreement but it was scuttled in December. Wolf reminded lawmakers of that turn of events on Tuesday. In web-streamed remarks, he urged them to send the agreement back to him. “House Republican leaders just walked away,” he said during his speech at the state capitol in Harrisburg. Some booed in response.  “Yelling will not make it go away,” Wolf said. “We need to do what’s right,” he continued, to applause. He later told lawmakers to “find another job” if they could not reach a solution. His 2017 proposal is built upon the eventual approval of that compromise budget for the current fiscal year.  Senate Republicans, who had passed the budget compromise, said Wolf was “doubling down” on last year’s proposal. “This retread budget proposal offers superficial changes to his sizable tax-and-spend plan that has already been soundly opposed by taxpayers,” Senate Majority Leader Jake Corman said in a statement on Tuesday. Unless next year’s deficit is closed, property taxes for homeowners will skyrocket, Wolf said. More than 23,000 teachers and school employees would be cut, as would special education and pre-kindergarten programs.  Services for senior citizens, the mentally ill, child care and domestic violence shelters also would be slashed, he said. Wolf’s address was no olive branch, said Muhlenberg College political scientist Christopher Borick.  “He turned up the heat,” Borick said. ",real,real,True,95.0,"The article exhibits journalistic style and attributes its information to Reuters and named individuals, including Governor Wolf and Senator Corman. It provides specific details about budget figures, proposed tax changes, and the political context surrounding the budget negotiations. While emotionally charged language like ""time bomb"" and ""fiscal catastrophe"" is used, it is within the context of quoting the governor. The article also presents opposing viewpoints, suggesting balanced reporting.","To inform the public about Pennsylvania's budget crisis and the political disagreements surrounding it. While the governor's quoted language aims to create a sense of urgency, the article overall maintains a relatively neutral tone.",[],Strong
The Cleveland police has issued a stand down order to officers.,fake,fake,True,95.0,"The statement lacks essential context and verifiable details.  While police departments *can* issue stand-down orders, the absence of any specifics (date, time, reason, corroborating sources) raises significant suspicion. The brevity of the text also suggests potential manipulation for a quick emotional response (fear, uncertainty) without providing the public with the full picture. The lack of provenance contributes to the assessment of likely fabrication.","Likely intended to evoke fear, uncertainty, and speculation by presenting an alarming but incomplete claim.","['Oversimplification', 'Appeal to Fear']",Non-existent
"HONOLULU/LOS ANGELES (Reuters) - U.S. President-elect Donald Trump heaped pressure on Lockheed Martin Corp on Thursday, saying he viewed costs for the aerospace company’s F-35 fighter as too high and had asked Boeing Co to offer a price for an older aircraft that lacks the same stealth capabilities.  Trump posted his Twitter message a day after the president-elect met with the chief executives of both aerospace companies, using the bully pulpit to press them on projects he says are too expensive.  In after-hours trading following Trump’s tweet, Lockheed shares fell 2 percent and Boeing’s rose 0.7 percent. “Based on the tremendous cost and cost overruns of the Lockheed Martin F-35, I have asked Boeing to price-out a comparable F-18 Super Hornet!” Trump said. Lockheed declined to comment. The F-35 program is a critical sales generator for the company, accounting for 20 percent of last year’s revenue of $46.1 billion. The Pentagon did not immediately respond to a request for comment. Boeing spokesman Todd Blecher said in an email that the company was committed to providing the capability and affordability to meet national security needs. While the F-35 program has been dogged by problems and costs have escalated to an estimated $379 billion, it is significantly newer than the F-18, which does not have the same stealth capabilities.  “They’re two completely different aircraft from different generations,” said Phillip Carter, a senior fellow at the Center for a New American Security, a Washington-based think tank. “It’s like comparing an old jeep to a Humvee.” Dan Grazier of the Project on Government Oversight, a nonprofit that investigates government contractors, said the F-35’s stealth capabilities drove the cost up, but its usefulness had not yet been demonstrated. He said canceling the program, however, would be “disruptive.” On the campaign trail, Trump touted his negotiating skills as a businessman, and he appears to be using similar tactics as he prepares to take office on Jan. 20. It was not clear how his blunt style would translate to Pentagon procurement or international diplomacy.     On Wednesday, Trump met the CEOs of Lockheed and Boeing at his resort in Palm Beach, Florida. Boeing CEO Dennis Muilenburg told reporters there that he had guaranteed costs would not get out of control for a replacement to Air Force One, the presidential plane, another project Trump calls too expensive.     Lockheed Chief Executive Marillyn Hewson did not speak to reporters but said in a statement that the meeting was “productive.” Trump told reporters he wanted to cut the F-35 program’s costs.  If he scrapped the F-35, such a move by a new administration would have some precedent. Then-President Jimmy Carter canceled the B-1 bomber program in June 1977, although it was resurrected by his White House successor, Ronald Reagan. Trump’s jockeying for leverage via his Twitter account is likely to be a hurdle for all U.S. defense contractors in the next administration, Roman Schweizer, aerospace and defense analyst at financial services firm Cowen & Co, wrote in a note to clients on Thursday. “We have no idea how this plays out but believe ‘Twitter risk’ for defense companies could be a significant issue over the next four years,” Schweizer wrote. “This is Lockheed Martin’s time in the barrel.” ",real,real,True,95.0,"The article exhibits characteristics of a legitimate news report. It cites a reputable news agency (Reuters), provides named sources (company spokespeople, analysts), and offers specific details about the events (stock market reactions, meeting locations). While Trump's claims about cost comparisons could be oversimplifications, the core events described (Trump's tweets, meetings with CEOs) are verifiable. The article presents multiple perspectives and avoids overtly emotionally charged language, suggesting an intent to inform rather than manipulate.","Primarily informative, with a focus on reporting events. Trump's statements carry an implicit persuasive element, aiming to portray him as a strong negotiator.",['Oversimplification (comparing F-35 and F-18 without full context)'],"Strong. Includes direct quotes, named sources, and corroborating details like stock market reactions. The claims about the meeting and Trump's tweets are easily verifiable."
"BRUSSELS (Reuters) - A leading European rights watchdog called on Turkey on Friday to ease post-coup state of emergency laws that have seen thousands arrested and restore power to regional authorities. President Tayyip Erdogan has overseen a mass purge in the armed forces and the judiciary, as well as a crackdown on critics including academics and journalists since a failed military coup in July last year.  An advisory body to the Council of Europe, of which Turkey is a member, acknowledged in a report  the need for certain extraordinary steps taken by Turkish authorities to face a dangerous armed conspiracy .  However...Turkish authorities have interpreted these extraordinary powers too extensively,  said the experts, known as the Venice Commission, in an opinion that has no legal force. It urged Ankara to lift laws allowing it to pick mayors, deputy mayors and members of local councils outside of local elections, a reference to rules the Turkish government has used to replace local pro-Kurdish politicians across the largely Kurdish southeast of the country. The experts at the Council of Europe, Europe s leading human rights organization with 47 member states, recommended Turkey set a time limit on the emergency rules and ensure proper judicial oversight of any counter-terrorism measures. Erdogan has accused U.S.-based, Islamic cleric Fethullah Gulen of orchestrating the coup, in which 250 people were killed. Gulen has denied involvement.  Since then, more than 50,000 people have been jailed pending trial over links to Gulen, while 150,000 people have been sacked or suspended from jobs in the public and private sectors. Rights groups and Turkey s Western allies - including the European Union - have been taken aback by the scale of the purge, sounding alarm that Erdogan was using the coup as a pretext to quash dissent. The government in Turkey, a NATO member, says it must neutralize the threat represented by Gulen s network deeply rooted in the army, schools and courts. ",real,real,True,95.0,"The article exhibits journalistic neutrality, presenting multiple perspectives (Turkish government, rights groups, Western allies). It attributes claims to specific entities (Reuters, Venice Commission, Council of Europe, named individuals) and provides context.  The narrative aligns with established events surrounding the 2016 Turkish coup attempt, and the inclusion of verifiable details like casualty figures and the number of arrests lends further credibility.","The article maintains an objective tone, aiming to inform rather than manipulate. While it reports on controversial events and human rights concerns, the language remains measured and avoids sensationalism.",[],Strong
